applicant_id,employment_type,credit_score,applicant_income,loan_amount,default
122,Salaried,684.0,24835.0,13162.0,1
123,Contract,602.0,55382.0,8280.0,1
124,Salaried,,87800.0,24545.0,0
125,Salaried,647.0,48595.0,23336.0,0
126,Salaried,588.0,53222.0,13435.0,1
127,Salaried,655.0,50354.0,30830.0,1
128,Self-Employed,689.0,56816.0,6302.0,0
129,Salaried,,74245.0,13162.0,0
130,Salaried,690.0,63292.0,11345.0,0
131,Salaried,505.0,61326.0,7959.0,1
132,Salaried,610.0,24202.0,11290.0,1
133,Salaried,672.0,77263.0,14432.0,1
134,Salaried,674.0,66640.0,12441.0,0
135,Self-Employed,705.0,44587.0,5940.0,0
136,Salaried,636.0,44773.0,20178.0,1
137,Salaried,616.0,55724.0,17363.0,1
138,Salaried,519.0,72242.0,11962.0,1
139,Salaried,610.0,24266.0,17191.0,1
140,Self-Employed,,58345.0,8081.0,1
141,Self-Employed,,54038.0,11114.0,1
142,Salaried,692.0,86093.0,30307.0,0
143,Salaried,664.0,58686.0,12602.0,1
144,Self-Employed,717.0,59445.0,8951.0,0
145,Contract,746.0,37387.0,14556.0,1
146,Self-Employed,704.0,19710.0,16611.0,0
147,Contract,628.0,52905.0,13349.0,0
148,Self-Employed,607.0,65279.0,6788.0,1
149,Self-Employed,707.0,88586.0,32143.0,0
150,Contract,789.0,80561.0,22088.0,0
151,Self-Employed,691.0,69698.0,17333.0,0
152,Contract,620.0,50978.0,9310.0,0
153,Salaried,688.0,58944.0,22588.0,0
154,Salaried,604.0,66911.0,16050.0,1
155,Salaried,552.0,54435.0,24001.0,1
156,Self-Employed,672.0,76723.0,14922.0,1
157,Salaried,618.0,68679.0,12551.0,0
158,Self-Employed,740.0,39105.0,15671.0,0
159,Self-Employed,479.0,48391.0,14577.0,1
160,Self-Employed,619.0,88968.0,7588.0,1
161,Salaried,661.0,46627.0,12135.0,1
162,Contract,629.0,43872.0,1000.0,1
163,Self-Employed,648.0,37974.0,18993.0,1
164,Salaried,729.0,55880.0,7572.0,0
165,Self-Employed,566.0,69766.0,1801.0,1
166,Self-Employed,577.0,37446.0,7611.0,1
167,Contract,577.0,67775.0,13998.0,1
168,Salaried,,24401.0,17193.0,1
169,Salaried,624.0,50072.0,5251.0,1
170,Salaried,656.0,58959.0,14146.0,1
171,Self-Employed,559.0,52297.0,13259.0,1
172,Contract,578.0,91000.0,7855.0,1
173,Salaried,636.0,52211.0,19576.0,1
174,Contract,828.0,65561.0,23860.0,0
175,Contract,607.0,30465.0,15465.0,1
176,Self-Employed,586.0,76921.0,6097.0,1
177,Contract,701.0,60626.0,12958.0,0
178,Salaried,677.0,58654.0,21838.0,0
179,Salaried,490.0,53575.0,7521.0,1
180,Salaried,671.0,66755.0,17232.0,1
181,Self-Employed,,48246.0,10734.0,1
182,Self-Employed,668.0,51510.0,19150.0,0
183,Salaried,643.0,71456.0,20228.0,0
184,Self-Employed,736.0,41843.0,15623.0,1
185,Self-Employed,654.0,49781.0,19536.0,1
186,Salaried,602.0,44680.0,15320.0,1
187,Self-Employed,684.0,99656.0,9965.0,1
188,Salaried,564.0,70313.0,17808.0,1
189,Salaried,544.0,63319.0,17821.0,1
190,Self-Employed,662.0,92981.0,19165.0,1
191,Contract,574.0,42063.0,13931.0,1
192,Salaried,686.0,44882.0,12652.0,0
193,Self-Employed,668.0,70354.0,6916.0,0
194,Contract,653.0,74523.0,3554.0,0
195,Salaried,713.0,61246.0,9901.0,0
196,Salaried,700.0,64559.0,1081.0,0
197,Salaried,,80527.0,29013.0,1
198,Salaried,689.0,67826.0,19841.0,1
199,Salaried,683.0,57418.0,10537.0,1
200,Salaried,672.0,50129.0,7286.0,1
201,Contract,578.0,59032.0,10429.0,1
202,Salaried,480.0,71059.0,19122.0,1
203,Salaried,541.0,35957.0,16099.0,1
204,Contract,594.0,18102.0,1000.0,1
205,Salaried,684.0,48004.0,12821.0,0
206,Contract,549.0,53649.0,16260.0,1
207,Contract,630.0,44216.0,17108.0,1
208,Salaried,638.0,70853.0,13283.0,0
209,Salaried,664.0,52866.0,29379.0,0
210,Salaried,690.0,60455.0,23870.0,0
211,Salaried,647.0,44294.0,8667.0,1
212,Salaried,655.0,60058.0,20162.0,1
213,Salaried,541.0,50465.0,18903.0,1
214,Self-Employed,621.0,67095.0,15724.0,0
215,Salaried,621.0,44203.0,10374.0,1
216,Self-Employed,753.0,72301.0,1357.0,0
217,Self-Employed,738.0,69002.0,6149.0,0
218,Contract,730.0,47732.0,25005.0,0
219,Contract,658.0,83527.0,23569.0,0
220,Salaried,640.0,59791.0,1822.0,1
221,Salaried,600.0,48999.0,7986.0,1
222,Contract,629.0,65275.0,17537.0,1
223,Salaried,547.0,53481.0,10905.0,1
224,Self-Employed,606.0,70731.0,3702.0,1
225,Salaried,596.0,37856.0,12779.0,1
226,Contract,634.0,76137.0,21142.0,1
227,Self-Employed,850.0,67558.0,16064.0,0
228,Contract,743.0,53744.0,16496.0,0
229,Salaried,591.0,69842.0,18814.0,1
230,Self-Employed,737.0,74998.0,14534.0,0
231,Contract,,80036.0,26164.0,1
232,Salaried,577.0,46529.0,13680.0,1
233,Salaried,649.0,20668.0,2538.0,1
234,Self-Employed,613.0,45692.0,15703.0,1
235,Salaried,578.0,48257.0,18495.0,1
236,Self-Employed,617.0,34395.0,22160.0,1
237,Self-Employed,638.0,42957.0,11561.0,1
238,Salaried,776.0,50337.0,16874.0,0
239,Self-Employed,587.0,22549.0,11958.0,1
240,Self-Employed,621.0,87695.0,8899.0,1
241,Contract,727.0,101747.0,15239.0,0
242,Contract,604.0,47895.0,18894.0,1
243,Self-Employed,621.0,75159.0,17127.0,0
244,Salaried,,58652.0,22383.0,1
245,Salaried,632.0,37662.0,12786.0,1
246,Self-Employed,660.0,54854.0,6355.0,0
247,Salaried,595.0,30979.0,21323.0,1
248,Salaried,735.0,108181.0,15647.0,0
249,Self-Employed,560.0,39264.0,9469.0,1
250,Self-Employed,617.0,34840.0,21431.0,1
251,Self-Employed,612.0,50966.0,24045.0,1
252,Contract,630.0,51318.0,16999.0,1
253,Salaried,550.0,65112.0,2885.0,1
254,Salaried,589.0,77323.0,22137.0,1
255,Salaried,628.0,58831.0,12973.0,1
256,Salaried,693.0,51772.0,22370.0,0
257,Salaried,672.0,32642.0,1000.0,0
258,Contract,,71367.0,25415.0,1
259,Contract,630.0,24359.0,18957.0,1
260,Contract,746.0,30075.0,4800.0,0
261,Self-Employed,635.0,44133.0,25670.0,1
262,Self-Employed,655.0,81796.0,14378.0,1
263,Self-Employed,651.0,38040.0,7631.0,0
264,Self-Employed,663.0,66220.0,25630.0,1
265,Contract,670.0,52140.0,26547.0,0
266,Self-Employed,639.0,61766.0,7228.0,0
267,Salaried,709.0,100954.0,7524.0,0
268,Salaried,695.0,29507.0,19191.0,1
269,Salaried,664.0,31534.0,16965.0,1
270,Contract,,71441.0,28647.0,0
271,Salaried,577.0,52795.0,19990.0,1
272,Salaried,657.0,69298.0,13560.0,0
273,Self-Employed,693.0,82741.0,30588.0,0
274,Salaried,601.0,28914.0,10616.0,0
275,Self-Employed,680.0,55351.0,24237.0,1
276,Contract,635.0,48322.0,21888.0,1
277,Salaried,580.0,38662.0,8374.0,1
278,Salaried,690.0,17145.0,4960.0,0
279,Salaried,591.0,72161.0,2008.0,0
280,Self-Employed,611.0,65439.0,16788.0,1
281,Salaried,633.0,58183.0,17543.0,1
282,Salaried,611.0,71321.0,32422.0,1
283,Salaried,607.0,57191.0,11573.0,1
284,Salaried,627.0,65731.0,13970.0,1
285,Contract,616.0,76090.0,16779.0,0
286,Salaried,,58355.0,15115.0,0
287,Self-Employed,641.0,65563.0,16762.0,1
288,Contract,735.0,45741.0,14835.0,0
289,Salaried,627.0,53986.0,12685.0,1
290,Salaried,711.0,31858.0,15897.0,1
291,Self-Employed,606.0,26455.0,11159.0,1
292,Self-Employed,556.0,52552.0,5224.0,1
293,Contract,640.0,80499.0,19248.0,1
294,Salaried,532.0,17884.0,11724.0,1
295,Salaried,715.0,31817.0,8745.0,0
296,Salaried,679.0,17472.0,22024.0,1
297,Contract,666.0,38659.0,12006.0,1
298,Contract,625.0,82189.0,9184.0,1
299,Self-Employed,650.0,73743.0,17999.0,1
300,Self-Employed,627.0,72302.0,7893.0,0
301,Contract,748.0,54478.0,6305.0,0
302,Contract,673.0,65026.0,14765.0,0
303,Contract,,65171.0,21510.0,1
304,Salaried,601.0,56508.0,13109.0,1
305,Self-Employed,702.0,83986.0,13500.0,0
306,Salaried,648.0,31619.0,26677.0,1
307,Salaried,712.0,52551.0,14984.0,0
308,Salaried,659.0,60090.0,13634.0,1
309,Salaried,700.0,25150.0,20070.0,1
310,Self-Employed,511.0,52460.0,19549.0,1
311,Contract,677.0,39443.0,1000.0,0
312,Salaried,603.0,78578.0,9865.0,1
313,Self-Employed,700.0,45051.0,27968.0,1
314,Contract,705.0,33273.0,18343.0,1
315,Salaried,682.0,51351.0,13836.0,0
316,Contract,650.0,71143.0,29281.0,1
317,Contract,653.0,56280.0,23952.0,1
318,Self-Employed,657.0,85695.0,14061.0,1
319,Salaried,657.0,44021.0,21866.0,0
320,Salaried,569.0,15428.0,16896.0,1
321,Contract,679.0,58601.0,18430.0,0
322,Contract,658.0,47801.0,12724.0,1
323,Contract,621.0,61275.0,1000.0,0
324,Contract,723.0,75982.0,5982.0,1
325,Self-Employed,628.0,59259.0,3184.0,0
326,Salaried,686.0,51871.0,7662.0,1
327,Salaried,716.0,42592.0,5644.0,0
328,Self-Employed,772.0,37597.0,9982.0,0
329,Salaried,653.0,50046.0,19595.0,1
330,Salaried,693.0,71603.0,21243.0,0
331,Self-Employed,554.0,91453.0,14154.0,1
332,Salaried,646.0,66449.0,3930.0,0
333,Self-Employed,620.0,81128.0,28511.0,1
334,Self-Employed,668.0,71187.0,13506.0,0
335,Self-Employed,551.0,67383.0,12112.0,1
336,Self-Employed,,15000.0,7693.0,0
337,Self-Employed,680.0,49925.0,16320.0,0
338,Self-Employed,722.0,49796.0,3883.0,0
339,Salaried,654.0,45825.0,11266.0,0
340,Self-Employed,647.0,42255.0,20419.0,1
341,Self-Employed,654.0,35683.0,6679.0,0
342,Salaried,688.0,58790.0,1000.0,0
343,Salaried,564.0,62272.0,20238.0,1
344,Salaried,722.0,51302.0,23338.0,1
345,Self-Employed,629.0,69501.0,4938.0,0
346,Salaried,541.0,98901.0,25256.0,1
347,Salaried,672.0,62446.0,11915.0,0
348,Self-Employed,769.0,54492.0,6322.0,0
349,Salaried,,37884.0,3702.0,0
350,Contract,588.0,39205.0,24520.0,1
351,Self-Employed,489.0,78326.0,19011.0,1
352,Salaried,545.0,62079.0,3163.0,1
353,Self-Employed,670.0,25542.0,11545.0,1
354,Salaried,606.0,61375.0,10869.0,1
355,Salaried,681.0,26446.0,23521.0,1
356,Self-Employed,611.0,32828.0,13851.0,0
357,Self-Employed,687.0,76252.0,29191.0,0
358,Salaried,604.0,66495.0,19298.0,0
359,Salaried,727.0,66362.0,20892.0,0
360,Salaried,614.0,15045.0,24092.0,1
361,Salaried,781.0,67536.0,8960.0,0
362,Salaried,621.0,79573.0,20506.0,0
363,Self-Employed,622.0,40393.0,12207.0,1
364,Self-Employed,729.0,68530.0,4165.0,0
365,Self-Employed,753.0,36961.0,16800.0,0
366,Salaried,587.0,48340.0,19720.0,1
367,Self-Employed,551.0,52800.0,20707.0,1
368,Self-Employed,726.0,29232.0,12396.0,1
369,Salaried,,32116.0,8511.0,1
370,Salaried,,70809.0,21268.0,1
371,Salaried,,29541.0,10794.0,0
372,Salaried,557.0,54607.0,18801.0,1
373,Self-Employed,651.0,57005.0,4120.0,1
374,Self-Employed,,66775.0,19855.0,0
375,Contract,703.0,57918.0,16624.0,1
376,Salaried,714.0,26722.0,12958.0,1
377,Contract,594.0,62359.0,14508.0,0
378,Salaried,677.0,27707.0,15218.0,0
379,Self-Employed,676.0,71591.0,16080.0,1
380,Salaried,745.0,19958.0,13580.0,0
381,Salaried,684.0,48477.0,18581.0,0
382,Salaried,584.0,38973.0,14060.0,1
383,Self-Employed,573.0,28349.0,1000.0,1
384,Salaried,619.0,34420.0,1000.0,0
385,Self-Employed,792.0,24068.0,23384.0,1
386,Contract,643.0,29288.0,5646.0,1
387,Salaried,589.0,23503.0,1000.0,1
388,Salaried,662.0,57739.0,29278.0,0
389,Salaried,712.0,25502.0,27041.0,1
390,Salaried,674.0,33331.0,30946.0,1
391,Self-Employed,636.0,92534.0,5119.0,1
392,Salaried,755.0,79554.0,24298.0,0
393,Self-Employed,718.0,48654.0,15873.0,1
394,Salaried,723.0,48043.0,23368.0,0
395,Salaried,591.0,84312.0,12470.0,1
396,Salaried,606.0,42967.0,10977.0,1
397,Salaried,610.0,48811.0,14673.0,0
398,Salaried,645.0,76295.0,27708.0,0
399,Self-Employed,657.0,20506.0,27963.0,1
400,Self-Employed,562.0,76739.0,14851.0,1
401,Salaried,585.0,32560.0,20663.0,1
402,Contract,660.0,33690.0,20051.0,1
403,Contract,674.0,54104.0,28543.0,1
404,Salaried,759.0,68117.0,28729.0,0
405,Salaried,654.0,71919.0,14365.0,0
406,Salaried,711.0,15000.0,19396.0,0
407,Salaried,533.0,51673.0,13345.0,1
408,Contract,675.0,65351.0,11007.0,1
409,Salaried,558.0,62221.0,15902.0,1
410,Contract,597.0,61887.0,17874.0,1
411,Self-Employed,658.0,52935.0,6807.0,0
412,Salaried,657.0,82827.0,14497.0,0
413,Contract,,52861.0,10629.0,1
414,Salaried,692.0,47886.0,10729.0,0
415,Salaried,545.0,87203.0,6606.0,1
416,Self-Employed,619.0,60579.0,20141.0,1
417,Salaried,662.0,80701.0,21057.0,1
418,Contract,620.0,63273.0,19430.0,1
419,Self-Employed,663.0,64714.0,11447.0,1
420,Salaried,770.0,71555.0,20094.0,0
421,Self-Employed,617.0,15000.0,12988.0,1
422,Self-Employed,643.0,66887.0,18825.0,0
423,Self-Employed,593.0,49429.0,22470.0,1
424,Salaried,573.0,83688.0,6783.0,1
425,Salaried,637.0,15000.0,28524.0,1
426,Salaried,707.0,48108.0,20962.0,1
427,Contract,600.0,39065.0,13873.0,1
428,Self-Employed,716.0,94190.0,19513.0,0
429,Contract,667.0,94394.0,16450.0,0
430,Salaried,578.0,15000.0,8188.0,1
431,Salaried,564.0,63464.0,14276.0,1
432,Contract,573.0,81736.0,16166.0,1
433,Salaried,,78141.0,22301.0,0
434,Salaried,633.0,40152.0,18887.0,1
435,Salaried,720.0,78427.0,9159.0,0
436,Self-Employed,,31686.0,27409.0,1
437,Salaried,665.0,87168.0,12282.0,0
438,Contract,700.0,86053.0,5275.0,1
439,Self-Employed,769.0,30109.0,5369.0,0
440,Salaried,562.0,35404.0,9965.0,1
441,Self-Employed,717.0,92828.0,22896.0,0
442,Salaried,652.0,80807.0,11987.0,0
443,Self-Employed,699.0,58090.0,15149.0,1
444,Self-Employed,627.0,76142.0,9836.0,1
445,Salaried,732.0,20027.0,5444.0,0
446,Contract,601.0,67012.0,23469.0,1
447,Salaried,677.0,41407.0,9920.0,0
448,Self-Employed,679.0,59851.0,10410.0,0
449,Self-Employed,713.0,75231.0,25504.0,0
450,Contract,578.0,48594.0,3914.0,0
451,Salaried,551.0,72091.0,5772.0,1
452,Salaried,757.0,36664.0,13300.0,0
453,Salaried,726.0,55618.0,15088.0,0
454,Contract,635.0,69768.0,17107.0,1
455,Contract,650.0,58628.0,27613.0,1
456,Salaried,577.0,45562.0,18353.0,1
457,Salaried,755.0,60044.0,18490.0,0
458,Self-Employed,560.0,41421.0,19824.0,1
459,Salaried,680.0,64669.0,20184.0,0
460,Contract,650.0,50768.0,20886.0,1
461,Salaried,714.0,85556.0,5336.0,0
462,Salaried,721.0,66047.0,16180.0,0
463,Salaried,586.0,74665.0,9303.0,1
464,Salaried,594.0,45258.0,8109.0,1
465,Salaried,668.0,83854.0,24373.0,1
466,Salaried,554.0,73235.0,25580.0,1
467,Salaried,712.0,89858.0,23256.0,0
468,Salaried,686.0,53803.0,18735.0,1
469,Contract,534.0,31836.0,12400.0,1
470,Self-Employed,757.0,60058.0,15351.0,0
471,Self-Employed,602.0,40635.0,26056.0,1
472,Salaried,705.0,57848.0,27979.0,1
473,Salaried,591.0,77122.0,19050.0,1
474,Salaried,741.0,55667.0,13917.0,0
475,Self-Employed,636.0,68053.0,13126.0,0
476,Salaried,602.0,57238.0,18812.0,1
477,Self-Employed,717.0,52868.0,15049.0,0
478,Contract,627.0,72272.0,17389.0,0
479,Salaried,593.0,49881.0,8758.0,1
480,Contract,596.0,88999.0,17999.0,1
481,Salaried,665.0,52203.0,28494.0,1
482,Salaried,675.0,54207.0,1000.0,0
483,Contract,624.0,15000.0,13017.0,1
484,Salaried,621.0,22385.0,20388.0,1
485,Contract,647.0,59064.0,13505.0,1
486,Salaried,607.0,51692.0,8461.0,1
487,Salaried,723.0,58765.0,2405.0,0
488,Self-Employed,723.0,78825.0,1509.0,0
489,Self-Employed,597.0,15000.0,21631.0,1
490,Contract,,65289.0,13999.0,0
491,Salaried,806.0,15000.0,13387.0,0
492,Self-Employed,688.0,37031.0,7036.0,0
493,Contract,595.0,48263.0,8802.0,1
494,Salaried,664.0,74752.0,16662.0,1
495,Contract,618.0,32350.0,18292.0,1
496,Salaried,,77516.0,16866.0,0
497,Salaried,719.0,54000.0,17760.0,0
498,Salaried,613.0,69147.0,22758.0,1
499,Salaried,615.0,74943.0,5778.0,1
500,Contract,637.0,54229.0,5353.0,1
501,Contract,673.0,15000.0,18462.0,1
502,Salaried,633.0,76218.0,15989.0,0
503,Salaried,768.0,51123.0,12471.0,0
504,Salaried,607.0,79449.0,28403.0,1
505,Salaried,711.0,43747.0,6412.0,0
506,Self-Employed,588.0,41590.0,14861.0,1
507,Salaried,572.0,59238.0,10700.0,0
508,Self-Employed,638.0,68832.0,15864.0,0
509,Self-Employed,635.0,63791.0,15232.0,0
510,Contract,530.0,55990.0,15263.0,1
511,Contract,,62369.0,9420.0,1
512,Salaried,700.0,33145.0,8109.0,0
513,Salaried,732.0,22008.0,24210.0,1
514,Contract,,19928.0,9383.0,0
515,Self-Employed,734.0,15000.0,16672.0,1
516,Contract,608.0,63519.0,11037.0,1
517,Salaried,667.0,55937.0,18403.0,1
518,Salaried,660.0,67096.0,14798.0,0
519,Salaried,619.0,58988.0,18918.0,1
520,Contract,,95605.0,26828.0,0
521,Salaried,650.0,33918.0,6935.0,0
522,Self-Employed,716.0,38803.0,22538.0,1
523,Self-Employed,706.0,18351.0,4677.0,0
524,Self-Employed,717.0,99469.0,20401.0,0
525,Self-Employed,686.0,77298.0,16137.0,0
526,Salaried,609.0,35032.0,23985.0,1
527,Salaried,599.0,19665.0,9746.0,1
528,Salaried,670.0,15000.0,19420.0,1
529,Salaried,,42495.0,12744.0,1
530,Salaried,717.0,93039.0,28104.0,0
531,Salaried,573.0,81991.0,26087.0,1
532,Salaried,706.0,52040.0,14872.0,0
533,Salaried,660.0,33317.0,11838.0,0
534,Salaried,561.0,82729.0,31748.0,1
535,Salaried,704.0,56235.0,18633.0,1
536,Salaried,670.0,81236.0,25039.0,0
537,Contract,,63159.0,12495.0,0
538,Salaried,608.0,61847.0,1000.0,0
539,Salaried,716.0,63126.0,16621.0,0
540,Salaried,604.0,40308.0,25024.0,1
541,Contract,749.0,71549.0,14556.0,0
542,Self-Employed,635.0,54489.0,12848.0,1
543,Salaried,678.0,28271.0,16617.0,1
544,Salaried,662.0,90761.0,7651.0,1
545,Salaried,658.0,66910.0,18983.0,0
546,Contract,673.0,35595.0,14393.0,1
547,Salaried,591.0,81482.0,13449.0,0
548,Self-Employed,737.0,47784.0,10760.0,0
549,Contract,698.0,57697.0,18786.0,1
550,Self-Employed,685.0,64070.0,17898.0,0
551,Contract,654.0,66317.0,36479.0,1
552,Self-Employed,,55140.0,29444.0,1
553,Self-Employed,730.0,25073.0,8668.0,0
554,Salaried,,48627.0,7014.0,0
555,Contract,625.0,56286.0,11951.0,1
556,Self-Employed,597.0,73319.0,15183.0,1
557,Contract,567.0,37321.0,21257.0,1
558,Salaried,701.0,47253.0,11249.0,0
559,Salaried,671.0,87987.0,5741.0,0
560,Self-Employed,567.0,31543.0,22436.0,1
561,Salaried,653.0,56492.0,18622.0,0
562,Self-Employed,664.0,33203.0,14524.0,1
563,Self-Employed,742.0,30996.0,23644.0,0
564,Self-Employed,672.0,35990.0,19903.0,0
565,Contract,706.0,70055.0,17942.0,0
566,Contract,816.0,63553.0,14151.0,0
567,Salaried,561.0,52640.0,26807.0,1
568,Contract,755.0,62952.0,1771.0,0
569,Self-Employed,684.0,71094.0,3767.0,0
570,Self-Employed,667.0,49122.0,28438.0,1
571,Self-Employed,602.0,62495.0,13125.0,1
572,Contract,636.0,60057.0,11212.0,1
573,Salaried,706.0,76014.0,14364.0,0
574,Salaried,589.0,61489.0,13746.0,1
575,Self-Employed,580.0,53239.0,25311.0,1
576,Self-Employed,723.0,39350.0,10932.0,0
577,Self-Employed,,116029.0,12525.0,1
578,Contract,635.0,41973.0,8820.0,1
579,Salaried,,46043.0,10112.0,1
580,Salaried,640.0,46415.0,4744.0,1
581,Self-Employed,641.0,24256.0,11843.0,1
582,Salaried,639.0,58911.0,19490.0,0
583,Salaried,636.0,51041.0,10226.0,1
584,Salaried,658.0,32377.0,4779.0,1
585,Salaried,697.0,62891.0,9232.0,0
586,Salaried,580.0,72335.0,17543.0,1
587,Contract,648.0,38590.0,25807.0,1
588,Self-Employed,663.0,54275.0,28400.0,1
589,Self-Employed,,16465.0,17995.0,1
590,Salaried,628.0,29255.0,5592.0,1
591,Salaried,561.0,70954.0,11571.0,0
592,Self-Employed,555.0,34479.0,8285.0,1
593,Salaried,612.0,49568.0,2120.0,1
594,Salaried,644.0,47195.0,16874.0,0
595,Salaried,683.0,43732.0,2674.0,0
596,Salaried,758.0,50217.0,5004.0,0
597,Salaried,679.0,49552.0,17299.0,0
598,Contract,720.0,54860.0,18036.0,1
599,Salaried,613.0,52433.0,15023.0,1
600,Salaried,636.0,53322.0,5527.0,0
601,Contract,619.0,29451.0,5715.0,1
